run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-04T20:11:39.085,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,77,77,,0,0,0,0.0,0.0,0.0,0,0,0,0.0,2.0,-1001.0,75,78,10,0,-12.93,45
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-04T20:11:39.085,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,75,80,6,0,0,,,,,,,65,65,,4,0,0,0.0,0.0,0.0,0,0,0,3.0,1.0,-1000.0,71,74,10,0,-11.93,52
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-04T20:11:39.085,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,150,80,7,0,0,,,,,,,63,63,,0,0,0,0.0,0.0,0.0,0,0,0,9.0,0.0,-1000.0,75,78,6553,0,-12.1,58
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-04T20:11:39.085,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,225,80,8,0,0,,,,,,,62,62,,2,1,0,0.0,0.0,0.0,0,0,0,20.0,-1.0,-999.0,69,72,10,0,-11.74,66
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-04T20:11:39.085,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,300,80,1,0,0,,,,,,,69,69,,0,0,0,0.0,0.0,0.0,0,0,0,8.0,-9.0,-999.0,67,70,10,0,-12.86,74
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-04T20:11:39.190,0.106,0.106,0.106,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,77,77,,0,0,0,0.0,0.0,0.0,0,0,0,0.0,2.0,-1000.0,75,78,10,0,-12.91,45
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-04T20:11:39.190,0.106,0.106,0.106,-1,-100,-100,-100,,,,0,75,80,6,0,0,,,,,,,65,65,,4,0,0,0.0,0.0,0.0,0,0,0,2.0,2.0,-997.0,71,74,10,0,-11.91,52
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-04T20:11:39.190,0.106,0.106,0.106,-1,-100,-100,-100,,,,0,150,80,7,0,0,,,,,,,63,63,,0,0,0,0.0,0.0,0.0,0,0,0,9.0,0.0,-999.0,75,78,6553,0,-12.11,58
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-04T20:11:39.190,0.106,0.106,0.106,-1,-100,-100,-100,,,,0,225,80,8,0,0,,,,,,,62,62,,2,1,0,0.0,0.0,0.0,0,0,0,20.0,-1.0,-998.0,69,72,10,0,-11.74,66
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-04T20:11:39.190,0.106,0.106,0.106,-1,-100,-100,-100,,,,0,300,80,1,0,0,,,,,,,69,69,,0,0,0,0.0,0.0,0.0,0,0,0,6.0,-10.0,-998.0,67,70,10,0,-12.86,74
20260904_201136,wind_tunnel_front_75_side_lv1_000,front,side wind,Level1,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-04T20:11:39.297,0.212,0.212,0.212,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,77,77,,0,0,0,0.0,0.0,0.0,0,0,0,0.0,5.0,-999.0,75,78,10,0,-12.92,45
