run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-08T17:26:09.118,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,71,71,,167,0,0,0.0,0.0,0.0,0,0,0,-6.0,14.0,-998.0,56,59,10,0,-55.15,40
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-08T17:26:09.118,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,50,80,6,0,0,,,,,,,78,78,,5,0,-1,0.0,0.0,0.0,0,0,0,6.0,18.0,-1000.0,56,59,10,0,-54.34,47
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T17:26:09.118,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,100,80,7,0,0,,,,,,,68,68,,149,0,0,0.0,0.0,0.0,0,0,0,-11.0,2.0,-1000.0,59,60,10,0,-54.4,53
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-08T17:26:09.118,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,150,80,8,0,0,,,,,,,78,78,,-166,0,0,0.0,0.0,0.0,0,0,0,6.0,-10.0,-999.0,54,57,6553,0,-53.74,61
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T17:26:09.118,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,200,80,1,0,0,,,,,,,62,62,,153,0,0,0.0,0.0,0.0,0,0,0,-4.0,-11.0,-998.0,56,57,6553,0,-54.9,67
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-08T17:26:09.224,0.107,0.107,0.107,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,71,71,,167,0,0,0.0,0.0,0.0,0,0,0,-5.0,14.0,-1000.0,56,59,10,0,-55.17,40
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-08T17:26:09.224,0.107,0.107,0.107,-1,-100,-100,-100,,,,0,50,80,6,0,0,,,,,,,78,78,,5,0,-1,0.0,0.0,0.0,0,0,0,8.0,17.0,-998.0,56,59,10,0,-54.28,47
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T17:26:09.224,0.107,0.107,0.107,-1,-100,-100,-100,,,,0,100,80,7,0,0,,,,,,,68,68,,149,0,0,0.0,0.0,0.0,0,0,0,-11.0,4.0,-999.0,59,60,10,0,-54.38,53
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-08T17:26:09.224,0.107,0.107,0.107,-1,-100,-100,-100,,,,0,150,80,8,0,0,,,,,,,78,78,,-166,0,0,0.0,0.0,0.0,0,0,0,6.0,-10.0,-999.0,54,57,6553,0,-53.73,61
20260908_172606,wind_tunnel_front_50_tail_lv1_prepare2,front,tail wind,Level1,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T17:26:09.224,0.107,0.107,0.107,-1,-100,-100,-100,,,,0,200,80,1,0,0,,,,,,,62,62,,153,0,0,0.0,0.0,0.0,0,0,0,-5.0,-10.0,-998.0,56,57,6553,0,-54.93,67
