run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:04.848,0.0,0.0,0.0,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,10,0,0,0.0,0.0,0.0,0,0,0,-6.0,0.0,-999.0,58,61,10,0,-42.92,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:04.954,0.106,0.106,0.106,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,10,0,0,0.0,0.0,0.0,0,0,0,-6.0,0.0,-1002.0,58,61,10,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.060,0.212,0.212,0.212,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,10,0,0,0.0,0.0,0.0,0,0,0,-5.0,0.0,-999.0,58,61,10,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.168,0.32,0.32,0.32,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,10,0,0,0.0,0.0,0.0,0,0,0,-6.0,0.0,-1001.0,58,61,10,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.275,0.427,0.427,0.427,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,10,0,0,0.0,0.0,0.0,0,0,0,-7.0,-1.0,-1002.0,58,61,10,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.383,0.535,0.535,0.535,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,12,0,0,0.0,0.0,0.0,0,0,0,-11.0,3.0,-1002.0,58,61,10,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.491,0.643,0.643,0.643,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,12,0,0,0.0,0.0,0.0,0,0,0,-3.0,6.0,-980.0,58,61,10,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.597,0.749,0.749,0.749,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,12,-1,0,0.0,0.0,0.0,0,0,0,3.0,5.0,-1003.0,58,61,10,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.701,0.853,0.853,0.853,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,12,0,0,0.0,0.0,0.0,0,0,6,26.0,-29.0,-1238.0,58,61,11,0,-42.89,62
20260906_225201,wind_tunnel_echalon_75_tail_lv2_002,echalon,tail wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-06T22:52:05.807,0.959,0.959,0.959,-1,-100,-100,-100,,,,212.13203435596424,0.0,80,1,0,0,,,,,,,88,88,,12,1,0,0.0,0.0,0.0,0,0,7,19.0,-20.0,-1052.0,58,61,16,0,-42.57,62
